"A41_T" "C115_T" "C24_T" "C99_T" "D36_T" "D65_T" "F20_T" "F44_T" "F69_T" "G30_T" "G80_T" "H11_T" "H17_T" "H35_T" "H46_T" "H4_T" "H63_T" "H78_T" "H85_T" "J106_T" "J111_T" "J32_T" "J38_T" "L103_T" "L112_T" "L113_T" "L28_T" "L3_T" "L50_T" "L52_T" "L60_T" "L61_T" "L64_T" "L68_T" "L6_T" "L75_T" "L90_T" "L95_T" "L97_T" "L9_T" "M72_T" "N39_T" "O31_T" "P1_T" "P21_T" "P88_T" "Q93_T" "R114_T" "R25_T" "R29_T" "R51_T" "R82_T" "S15_T" "S2_T" "S86_T" "S92_T" "T45_T" "W101_T" "W105_T" "W108_T" "W116_T" "W14_T" "W18_T" "W33_T" "W37_T" "W59_T" "W5_T" "W62_T" "W66_T" "W73_T" "X117_T" "X13_T" "X22_T" "X34_T" "X49_T" "X94_T" "Y10_T" "Y12_T" "Y19_T" "Y27_T" "Y48_T" "Y57_T" "Y7_T" "Y89_T" "Y8_T" "Z16_T" "Z23_T" "Z26_T" "Z43_T" "Z58_T" "Z76_T" "Z81_T" "Z84_T" "Z87_T" "Z96_T"
"11p" 0 0 0 0 0 0 0 0 0 -0.3 0 0 0 0 0.19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.287 0 0 0 0 0 0 0 0 0 0 0 0 -0.19 0 0 0.116 0 0 0 0 0 0 0 0.226
"11q" 0 0 0 0 0 0 0 0 0 -0.3 0 0 0 0 0.19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.218 0 0 0 0 0 0 0 0 0 0 -0.287 0 0 0 0 0 0 0 0 0 0 0 0 -0.19 0 0 0.116 0 0 0 0 0 0 0 0.226
"12p" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.215 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.284 0.471 0 0 0.376 0 0 0 0.329 0.612 0 0.333 0 0 0 0 0 0.284 0 0 0 0.546 0 0 0.318 0.228 0.228 0 0 0 0 0 0 0.33 0 0 0 0.269 0 0 0.361 0 0 0.156 0 0 0 0 0 0 0.405 0.573 0 0.303 0 0 0.708 0 0 0 0 0.257
"12q" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.215 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.284 0.471 0 0 0.376 0 0 0 0.329 0.609 0 0.214 0 0 0 0 0 0.284 0 0 0 0.546 0 0 0.318 0.228 0.228 0 0 0 0 0 0 0.33 0 0 0 0.269 0 0 0.361 0 0 0.156 0 0 0 0 0 0 0.405 0.573 0 0.303 0 0 0.708 0 0 0 0 0.257
"13q" 0 0 0 0 0 0 -0.196 0 0 -0.239 0 0 0 0 0 0 0 0 0 0 0 0 0.525 0 0 -0.49 0 0 0 0 0 0 0 -0.392 0 0 0 0 0 0 0 0 0 0 -0.185 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.117 0 0 0 0 0 0 0 0 -0.37 -0.498 0 -0.568 0 0 -0.276 0 0 0 0 0 0 0 0 0 0 0 0 -0.335 0 0 -0.448 0 0 0 0 0.12
"14q" 0 -0.187 -0.269 0 0 0 0 0 0 -0.253 0 0 0 -0.381 0 0 0 0 0 0 0 -0.256 0 0 0 -0.505 0 0 0 0 0 0 0 -0.415 0 -0.303 0 0 0 0 0 -0.318 0 -0.462 -0.521 0 0 0 -0.585 -0.298 -0.527 -0.354 0 0 -0.537 0 0 0 -0.131 0 0 0 0 0 -0.527 0 0 -0.395 0 0 0.137 0 -0.49 0.41 0 -0.439 -0.645 -0.644 0 0 0 0 0 -0.15 0 0 -0.425 0 0 -0.456 0 0 0 -0.574 0.245
"15q" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.519 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.261 0 0 0 0 0 -0.299 0 0 0 0 0 -0.36 0 0 0 0 0 0 0 0 0 0 -0.418 -0.469 0 -0.776 0 0 0 0 0 -0.359 0 0 0 0 0 0 -0.205 0 0 -0.447 0 0 0 0 0 0 0 0.415
"16p" 0 0 0 -0.1 -0.144 0 0 0 0 0 0 0 0 -0.129 0.202 0 0 0 0 0 -0.109 0.208 0 0 -0.13 0.522 0 0 0 0 0 0 0 -0.103 0 0 0 0 0 0 0 0.3 0 0.354 0 0 0 0 0 0 0.136 -0.16 0 0 0 0 0 0.143 -0.419 -0.104 0 0 0 -0.1 0 0 0.204 0 0 0 -0.42 0 0 0.327 -0.145 0 0 0 0 0 0 -0.104 0.384 0 -0.1 0 -0.176 0 0 0.346 0 0 0 0.715 0.252
"16q" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.202 0 0 0 0 0 0 0.208 0 0 0 0.522 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.3 0 0.354 0 0 0 0 0 0 0.136 0 0 0 0 0 0 0.143 -0.419 0 0 0 0 0 -0.328 0 0 0 0 0 -0.42 0 0 0.327 0 0 0 0 0 0 0 0 0.384 0 -0.1 0 -0.176 0 0 0 0 0 0 0.59 0.252
"17p" 0 0 0 0 0 0 -0.27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.171 0 0.107 0 0 0 0 0 0 -0.203 0 0 0 0 0 0 0.571 0 -0.111 0 0 0 0 0 0 -0.133 0 0 0 0 0 0 0 0 0 -0.218 0 0 0 0 0 0 0 -0.286 0 0 0 0 0 0 0 0 0 -0.21 0 0 0 0 0 0 0 0
